name,link
vegetarian-friendly,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/vegetarian-friendly
vietnamese,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/vietnamese
west-african,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/west-african
west-indian,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/west-indian
western,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/western
wine,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/wine
wings,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/wings
wrap,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/wrap
yakiniku,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/yakiniku
yakitori,https://www.ubereats.com/category/cambridge-ma/category/cambridge-ma/yakitori
