name,url,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString,full_address
"Gordo Taqueria - Geary Blvd, San Fran CA",https://www.ubereats.com/store/gordo-taqueria-geary-blvd-san-fran-ca/cHMeZAGsTT6dz1ZIML605A,"['Mexican', 'Chicken', 'Steak', 'Group Friendly']",4.8,78,$,37.7806626,-122.4780816,+14156688226,94121,5450 Geary Blvd,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '10:0', 'closes': '20:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94121', 'addressCountry': 'US', 'streetAddress': '5450 Geary Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 37.7806626, 'longitude': -122.4780816}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '78'}","Gordo Taqueria - Geary Blvd, San Fran CA, 5450 Geary Blvd, San Francisco, CA, 94121"
Kwik and Convenient Liquors,https://www.ubereats.com/store/kwik-and-convenient-liquors/28EBjtw2S5qrtQ3gvjjrxQ,"['Alcohol', 'Liquor Stores', 'Wine']",4.9,100,$$,37.7318325,-122.4492074,+14153344140,94127,600 Monterey Boulevard,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '0:0', 'closes': '2:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '6:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '0:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '0:0', 'closes': '2:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '6:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94127', 'addressCountry': 'US', 'streetAddress': '600 Monterey Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 37.7318325, 'longitude': -122.4492074}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '100'}","Kwik and Convenient Liquors, 600 Monterey Boulevard, San Francisco, CA, 94127"
Gopuff Liquor &amp; More,https://www.ubereats.com/store/gopuff-liquor-%26-more/zd2Sz9rKXdyhZi9qu1MNYg,"['Snacks', 'Alcohol', 'Liquor Stores']",4.8,23,$,37.78774,-122.42231,+10000000000,94109,1301 Van Ness Ave.,San Fransisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Fransisco', 'addressRegion': 'CA', 'postalCode': '94109', 'addressCountry': 'US', 'streetAddress': '1301 Van Ness Ave.'}","{'@type': 'GeoCoordinates', 'latitude': 37.78774, 'longitude': -122.42231}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '23'}","Gopuff Liquor &amp; More, 1301 Van Ness Ave., San Fransisco, CA, 94109"
BevMo! (1301 Van Ness Avenue),https://www.ubereats.com/store/bevmo!-1301-van-ness-avenue/WuhjxQjxSa6hsHvweNgVWQ,"['Alcohol', 'Liquor Stores']",4.9,100,$$,37.78774,-122.42231,+14154478483,94109,1301 Van Ness Avenue,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '10:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94109', 'addressCountry': 'US', 'streetAddress': '1301 Van Ness Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 37.78774, 'longitude': -122.42231}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '100'}","BevMo! (1301 Van Ness Avenue), 1301 Van Ness Avenue, San Francisco, CA, 94109"
Supreme crab,https://www.ubereats.com/store/supreme-crab/D2aaW-WkSMiWgEVgD3MYpg,"['Cajun', 'Fish and Chips', 'Seafood', 'Fish and Chips', 'Family Friendly']",4.8,66,$$,37.8078677,-122.4164585,+16503039981,94133,245 Jefferson St # 2FL,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '14:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94133', 'addressCountry': 'US', 'streetAddress': '245 Jefferson St # 2FL'}","{'@type': 'GeoCoordinates', 'latitude': 37.8078677, 'longitude': -122.4164585}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '66'}","Supreme crab, 245 Jefferson St # 2FL, San Francisco, CA, 94133"
Gentilly,https://www.ubereats.com/store/gentilly/LuSbJ5b1SZyyOnZr1n8FUA,"['Comfort Food', 'Caribbean', 'Cajun', 'Sandwich']",4.9,13,$,37.7209469,-122.4378547,+14152797576,94112,4826 Mission St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94112', 'addressCountry': 'US', 'streetAddress': '4826 Mission St'}","{'@type': 'GeoCoordinates', 'latitude': 37.7209469, 'longitude': -122.4378547}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '13'}","Gentilly, 4826 Mission St, San Francisco, CA, 94112"
The Front Porch,https://www.ubereats.com/store/the-front-porch/fKQQnKdmT_aca9YF2mb-sQ,"['Southern', 'Soul Food', 'Cajun']",4.9,14,"",37.74381,-122.422,+14156957800,94110,65 29th Street,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '14:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94110', 'addressCountry': 'US', 'streetAddress': '65 29th Street'}","{'@type': 'GeoCoordinates', 'latitude': 37.74381, 'longitude': -122.422}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '14'}","The Front Porch, 65 29th Street, San Francisco, CA, 94110"
Elephant Sushi,https://www.ubereats.com/store/elephant-sushi/WEs2KCM-Q-C43APDHO-_Fw,"['Sushi', 'Asian', 'Japanese', 'Group Friendly']",4.9,97,$,37.7986625,-122.4187311,+14154401905,94109,1916 Hyde St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94109', 'addressCountry': 'US', 'streetAddress': '1916 Hyde St'}","{'@type': 'GeoCoordinates', 'latitude': 37.7986625, 'longitude': -122.4187311}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '97'}","Elephant Sushi, 1916 Hyde St, San Francisco, CA, 94109"
Pokeworks (50 Freemont St),https://www.ubereats.com/store/pokeworks-50-freemont-st/hJW4WTrmQhOLfFHEd7Q1HQ,"['Sushi', 'Asian', 'Japanese']",4.7,100,$,37.79064,-122.39714,+14154328898,94105,50 Fremont Street,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '19:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '10:30', 'closes': '14:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94105', 'addressCountry': 'US', 'streetAddress': '50 Fremont Street'}","{'@type': 'GeoCoordinates', 'latitude': 37.79064, 'longitude': -122.39714}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '100'}","Pokeworks (50 Freemont St), 50 Fremont Street, San Francisco, CA, 94105"
Axum Cafe,https://www.ubereats.com/store/axum-cafe/dnBCyJhGQxSjNFYqlvvshA,"['African: Ethiopian', 'Black-owned']",4.8,31,$$,37.771902,-122.433626,+14152527912,94117,698 Haight St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94117', 'addressCountry': 'US', 'streetAddress': '698 Haight St'}","{'@type': 'GeoCoordinates', 'latitude': 37.771902, 'longitude': -122.433626}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '31'}","Axum Cafe, 698 Haight St, San Francisco, CA, 94117"
Helmand Palace,https://www.ubereats.com/store/helmand-palace/ZXZ9QJiVRP6k0nntaVAVJQ,"['Afghan', 'Salads', 'Vegetarian Friendly', 'Healthy']",4.9,10,$$,37.798006,-122.42353,+4153450072,94109,2424 Van Ness Ave,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:30', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94109', 'addressCountry': 'US', 'streetAddress': '2424 Van Ness Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.798006, 'longitude': -122.42353}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '10'}","Helmand Palace, 2424 Van Ness Ave, San Francisco, CA, 94109"
Afghan Super Grill,https://www.ubereats.com/store/afghan-super-grill/ajYopvg2WTWceKYNbjFf9A,"['Middle Eastern', 'Mediterranean', 'Halal']",,,"",37.798,-122.42343,+16504768895,94109,2424 Van Ness Avenue,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94109', 'addressCountry': 'US', 'streetAddress': '2424 Van Ness Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 37.798, 'longitude': -122.42343}",{},"Afghan Super Grill, 2424 Van Ness Avenue, San Francisco, CA, 94109"
Moya,https://www.ubereats.com/store/moya/LmsmbqLETna11sfvvMTe3w,"['Black-owned', 'Ethiopian', 'Exclusive to Eats']",4.8,36,$,37.7759955,-122.414172,+14154315544,94103,121 9th St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94103', 'addressCountry': 'US', 'streetAddress': '121 9th St'}","{'@type': 'GeoCoordinates', 'latitude': 37.7759955, 'longitude': -122.414172}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '36'}","Moya, 121 9th St, San Francisco, CA, 94103"
Ethorrito,https://www.ubereats.com/store/ethorrito/gQkYAL2RSlOa5D9z4eyWAA,"['Ethiopian', 'Vegetarian', 'Comfort Food']",,,"",37.77606,-122.41407,+14154315544,94103,121 9th St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94103', 'addressCountry': 'US', 'streetAddress': '121 9th St'}","{'@type': 'GeoCoordinates', 'latitude': 37.77606, 'longitude': -122.41407}",{},"Ethorrito, 121 9th St, San Francisco, CA, 94103"
Tommy's Joynt,https://www.ubereats.com/store/tommys-joynt/h_k375r4QsmwQ9Oy4hKE7Q,"['American', 'Sandwich', 'Family Meals', 'Allergy Friendly']",4.8,56,$$,37.7855242,-122.4217838,+14157754216,94109,1101 Geary Blvd,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '12:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '12:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '13:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94109', 'addressCountry': 'US', 'streetAddress': '1101 Geary Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 37.7855242, 'longitude': -122.4217838}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '56'}","Tommy's Joynt, 1101 Geary Blvd, San Francisco, CA, 94109"
La Mediterranee,https://www.ubereats.com/store/la-mediterranee/PzTjC1zpTpixqjU1i9gr3g,"['Mediterranean', 'Greek', 'Vegetarian', 'Family Meals', 'Vegan', 'Vegan Friendly', 'Sandwich', 'Sandwiches', 'Gluten Free', 'Gluten Free Friendly', 'Falafel']",4.8,100,$,37.7644982,-122.4334222,+14154317210,94114,288 Noe Street,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94114', 'addressCountry': 'US', 'streetAddress': '288 Noe Street'}","{'@type': 'GeoCoordinates', 'latitude': 37.7644982, 'longitude': -122.4334222}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}","La Mediterranee, 288 Noe Street, San Francisco, CA, 94114"
Pakwan - Mission,https://www.ubereats.com/store/pakwan-mission/x_jCjXeUTpa8JZNDY6ghig,"['Indian', 'Indian Curry', 'Vegetarian Friendly', 'Family Friendly', 'Group Friendly']",4.8,100,$,37.7649957,-122.4236589,+14152552440,94103,3180 16th St # 82,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94103', 'addressCountry': 'US', 'streetAddress': '3180 16th St # 82'}","{'@type': 'GeoCoordinates', 'latitude': 37.7649957, 'longitude': -122.4236589}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}","Pakwan - Mission, 3180 16th St # 82, San Francisco, CA, 94103"
Squat &amp; Gobble Cafe - West Portal,https://www.ubereats.com/store/squat-%26-gobble-cafe-west-portal/op66JaOxR4uLz2GqFvTYdA,"['Breakfast and Brunch', 'Burgers', 'Salads', 'Gluten Free Friendly', 'Vegetarian Friendly', 'Healthy', 'Family Friendly', 'Group Friendly', 'Alcohol']",4.9,100,$$,37.7406225,-122.4656866,+14156659900,94127,1 W Portal Ave,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '19:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94127', 'addressCountry': 'US', 'streetAddress': '1 W Portal Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.7406225, 'longitude': -122.4656866}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '100'}","Squat &amp; Gobble Cafe - West Portal, 1 W Portal Ave, San Francisco, CA, 94127"
Rocket Sushi,https://www.ubereats.com/store/rocket-sushi/dpDY9r8bQCOv-_X0kkg3DQ,"['Japanese: Sushi', 'Ramen', 'Vegetarian', 'Eats XL', 'Group Friendly', 'Alcohol']",4.8,100,"",37.77255,-122.42193,+14158729368,94103,1695 Market Street,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94103', 'addressCountry': 'US', 'streetAddress': '1695 Market Street'}","{'@type': 'GeoCoordinates', 'latitude': 37.77255, 'longitude': -122.42193}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}","Rocket Sushi, 1695 Market Street, San Francisco, CA, 94103"
Lers Ros Thai - Larkin,https://www.ubereats.com/store/lers-ros-thai-larkin/QSjCwXBmSA20M6cgRo_IZA,"['Thai', 'Family Meals', 'Group Friendly']",4.8,100,$$,37.784709,-122.417591,+14159316917,94109,730 Larkin St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94109', 'addressCountry': 'US', 'streetAddress': '730 Larkin St'}","{'@type': 'GeoCoordinates', 'latitude': 37.784709, 'longitude': -122.417591}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}","Lers Ros Thai - Larkin, 730 Larkin St, San Francisco, CA, 94109"
The Italian Homemade Company - Hayes Valley,https://www.ubereats.com/store/the-italian-homemade-company-hayes-valley/xlI1U2FaRX-XNZROZkP4sg,"['Sandwich', 'Italian', 'Vegetarian Friendly', 'Family Meals', 'Alcohol', 'Sandwiches', 'Sandwich', 'Steak', 'Chicken', 'Italian', 'Comfort Food', 'Eats XL', 'Group Friendly']",4.7,100,$$,37.7744225,-122.4210197,+14157570877,94102,1 Franklin Street,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94102', 'addressCountry': 'US', 'streetAddress': '1 Franklin Street'}","{'@type': 'GeoCoordinates', 'latitude': 37.7744225, 'longitude': -122.4210197}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '100'}","The Italian Homemade Company - Hayes Valley, 1 Franklin Street, San Francisco, CA, 94102"
707 Sutter,https://www.ubereats.com/store/707-sutter/Rhi5tQOHTg-B9ctNEBXGHA,"['Korean', 'Asian', 'BBQ', 'Alcohol', 'Family Friendly', 'Exclusive to Eats']",4.9,100,$,37.7885556,-122.4121289,+14153467979,94109,707 Sutter St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94109', 'addressCountry': 'US', 'streetAddress': '707 Sutter St'}","{'@type': 'GeoCoordinates', 'latitude': 37.7885556, 'longitude': -122.4121289}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '100'}","707 Sutter, 707 Sutter St, San Francisco, CA, 94109"
Bottega90,https://www.ubereats.com/store/bottega90/nLSGyGdQR3WjYo3XC3W5Xg,"['Italian', 'Pasta', 'Pizza', 'Group Friendly']",4.7,83,$$,37.7546,-122.4211,+14153747328,94110,1132 Valencia Street,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94110', 'addressCountry': 'US', 'streetAddress': '1132 Valencia Street'}","{'@type': 'GeoCoordinates', 'latitude': 37.7546, 'longitude': -122.4211}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '83'}","Bottega90, 1132 Valencia Street, San Francisco, CA, 94110"
Crepevine - Inner Sunset,https://www.ubereats.com/store/crepevine-inner-sunset/URM-ukyqTTGoV3knFmrK5Q,"['Breakfast and Brunch', 'Sandwiches', 'Salads', 'Healthy', 'Family Friendly']",4.8,100,$$,37.7643001,-122.4646855,+14156815858,94122,624 Irving St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:0', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '8:0', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94122', 'addressCountry': 'US', 'streetAddress': '624 Irving St'}","{'@type': 'GeoCoordinates', 'latitude': 37.7643001, 'longitude': -122.4646855}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}","Crepevine - Inner Sunset, 624 Irving St, San Francisco, CA, 94122"
Shake Shack (San Francisco Centre),https://www.ubereats.com/store/shake-shack-san-francisco-centre/jj_Fs4JhRZqTgj7m5hThPQ,"['American', 'Burgers', 'Group Friendly']",4.6,100,$,37.7845637097292,-122.406562569387,+16282672631,94103,845 Market Street,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94103', 'addressCountry': 'US', 'streetAddress': '845 Market Street'}","{'@type': 'GeoCoordinates', 'latitude': 37.78456370972922, 'longitude': -122.40656256938698}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '100'}","Shake Shack (San Francisco Centre), 845 Market Street, San Francisco, CA, 94103"
Dumpling Time,https://www.ubereats.com/store/dumpling-time/cNzPqyyzS6mi5qXTYr_-2Q,"['Chinese', 'Asian', 'Noodles', 'Family Friendly', 'Alcohol']",4.8,100,$,37.7695323,-122.4023758,+14155254797,94103,11 Division St,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '94103', 'addressCountry': 'US', 'streetAddress': '11 Division St'}","{'@type': 'GeoCoordinates', 'latitude': 37.7695323, 'longitude': -122.4023758}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}","Dumpling Time, 11 Division St, San Francisco, CA, 94103"
